,0
0,Albania
1,Algeria
2,Andorra
3,Angola
4,Antigua and Barbuda
5,Argentina
6,Armenia
7,Australia
8,Austria
9,Azerbaijan
10,Bahamas
11,Bahrain
12,Bangladesh
13,Barbados
14,Belarus
15,Belgium
16,Belize
17,Benin
18,Bhutan
19,Bolivia (Plurinational State of)
20,Bosnia and Herzegovina
21,Botswana
22,Brazil
23,Brunei Darussalam
24,Bulgaria
25,Burkina Faso
26,Burundi
27,Cote d'Ivoire
28,Cabo Verde
29,Cambodia
30,Cameroon
31,Canada
32,Central African Republic
33,Chad
34,Chile
35,Colombia
36,Comoros
37,Congo
38,Cook Islands
39,Costa Rica
40,Croatia
41,Cuba
42,Cyprus
43,Czech Republic
44,Democratic People's Republic of Korea
45,Democratic Republic of the Congo
46,Denmark
47,Djibouti
48,Dominica
49,Dominican Republic
50,Ecuador
51,Egypt
52,El Salvador
53,Equatorial Guinea
54,Eritrea
55,Estonia
56,Ethiopia
57,Fiji
58,Finland
59,France
60,Gabon
61,Gambia
62,Georgia
63,Germany
64,Ghana
65,Greece
66,Grenada
67,Guatemala
68,Guinea
69,Guinea-Bissau
70,Guyana
71,Haiti
72,Honduras
73,Hungary
74,Iceland
75,India
76,Indonesia
77,Iraq
78,Ireland
79,Israel
80,Italy
81,Jamaica
82,Jordan
83,Kazakhstan
84,Kenya
85,Kiribati
86,Kuwait
87,Kyrgyzstan
88,Lao People's Democratic Republic
89,Latvia
90,Lebanon
91,Lesotho
92,Liberia
93,Libya
94,Lithuania
95,Luxembourg
96,Madagascar
97,Malawi
98,Malaysia
99,Maldives
100,Mali
101,Malta
102,Marshall Islands
103,Mauritania
104,Mauritius
105,Mexico
106,Micronesia (Federated States of)
107,Monaco
108,Mongolia
109,Montenegro
110,Morocco
111,Mozambique
112,Myanmar
113,Namibia
114,Nauru
115,Nepal
116,Netherlands
117,New Zealand
118,Nicaragua
119,Niger
120,Nigeria
121,Niue
122,Norway
123,Oman
124,Pakistan
125,Palau
126,Panama
127,Papua New Guinea
128,Paraguay
129,Peru
130,Philippines
131,Poland
132,Portugal
133,Qatar
134,Republic of Korea
135,Republic of Moldova
136,Romania
137,Russian Federation
138,Rwanda
139,Saint Kitts and Nevis
140,Saint Lucia
141,Saint Vincent and the Grenadines
142,Samoa
143,San Marino
144,Sao Tome and Principe
145,Saudi Arabia
146,Senegal
147,Serbia
148,Seychelles
149,Sierra Leone
150,Slovakia
151,Slovenia
152,Solomon Islands
153,Somalia
154,South Africa
155,Spain
156,Sri Lanka
157,Sudan
158,Suriname
159,Swaziland
160,Sweden
161,Switzerland
162,Syrian Arab Republic
163,Tajikistan
164,The former Yugoslav republic of Macedonia
165,Timor-Leste
166,Togo
167,Tonga
168,Trinidad and Tobago
169,Tunisia
170,Turkey
171,Turkmenistan
172,Tuvalu
173,Uganda
174,Ukraine
175,United Arab Emirates
176,United Kingdom of Great Britain and Northern Ireland
177,United Republic of Tanzania
178,United States of America
179,Uruguay
180,Uzbekistan
181,Vanuatu
182,Venezuela (Bolivarian Republic of)
183,Viet Nam
184,Yemen
185,Zambia
186,Zimbabwe
187,China
188,Iran (Islamic Republic of)
189,Singapore
190,Thailand
191,Japan
192,South Sudan
