countrycode,year,rgdpe
AGO,1950,
AGO,1951,
AGO,1952,
AGO,1953,
AGO,1954,
AGO,1955,
AGO,1956,
AGO,1957,
AGO,1958,
AGO,1959,
AGO,1960,
AGO,1961,
AGO,1962,
AGO,1963,
AGO,1964,
AGO,1965,
AGO,1966,
AGO,1967,
AGO,1968,
AGO,1969,
AGO,1970,19026
AGO,1971,20159.91
AGO,1972,20201.87
AGO,1973,21853.66
AGO,1974,22599.8
AGO,1975,21334.77
AGO,1976,20213.24
AGO,1977,20461.18
AGO,1978,19407.77
AGO,1979,19719.54
AGO,1980,19247.05
AGO,1981,19093.98
AGO,1982,19264.37
AGO,1983,20028.24
AGO,1984,22497.75
AGO,1985,22171.19
AGO,1986,22426.52
AGO,1987,25664.95
AGO,1988,25415.92
AGO,1989,25968.93
AGO,1990,27311.73
AGO,1991,29188.05
AGO,1992,30681.62
AGO,1993,21642.96
AGO,1994,24995.92
AGO,1995,28955.19
AGO,1996,32531.2
AGO,1997,35976.71
AGO,1998,30670.75
AGO,1999,39864.61
AGO,2000,32284.11
AGO,2001,30731.19
AGO,2002,37226.93
AGO,2003,38216.31
AGO,2004,42518.26
AGO,2005,52943.32
AGO,2006,64503.37
AGO,2007,74966.25
AGO,2008,87251.8
AGO,2009,76140.98
AGO,2010,97857.8
AGO,2011,106236.2
ALB,1950,
ALB,1951,
ALB,1952,
ALB,1953,
ALB,1954,
ALB,1955,
ALB,1956,
ALB,1957,
ALB,1958,
ALB,1959,
ALB,1960,
ALB,1961,
ALB,1962,
ALB,1963,
ALB,1964,
ALB,1965,
ALB,1966,
ALB,1967,
ALB,1968,
ALB,1969,
ALB,1970,8043.72
ALB,1971,8365.9
ALB,1972,8701.84
ALB,1973,9050.12
ALB,1974,9412
ALB,1975,9793.18
ALB,1976,10182.47
ALB,1977,10585.77
ALB,1978,11030.96
ALB,1979,11445.25
ALB,1980,11895.24
ALB,1981,12483.83
ALB,1982,12787.53
ALB,1983,13041.79
ALB,1984,12702.03
ALB,1985,12843.94
ALB,1986,13608.82
ALB,1987,13507.04
ALB,1988,13169.49
ALB,1989,14555.15
ALB,1990,14904.61
ALB,1991,8359.61
ALB,1992,6272.8
ALB,1993,8020.22
ALB,1994,10151.36
ALB,1995,11071.67
ALB,1996,12948.54
ALB,1997,11611.38
ALB,1998,11616.98
ALB,1999,13363.49
ALB,2000,13720.71
ALB,2001,14206.22
ALB,2002,14331.56
ALB,2003,15251.32
ALB,2004,16305.27
ALB,2005,16960.06
ALB,2006,18301.7
ALB,2007,19535.72
ALB,2008,21701.83
ALB,2009,23163.31
ALB,2010,23574.45
ALB,2011,23801.88
ARG,1950,36905.05
ARG,1951,38808.02
ARG,1952,35158.32
ARG,1953,36496.79
ARG,1954,38161.28
ARG,1955,41727.84
ARG,1956,42806.87
ARG,1957,44780.7
ARG,1958,48078.57
ARG,1959,45789.41
ARG,1960,49341.14
ARG,1961,51578.48
ARG,1962,49202.56
ARG,1963,48978.72
ARG,1964,52474.9
ARG,1965,60081.43
ARG,1966,59615.93
ARG,1967,62289.04
ARG,1968,64157.06
ARG,1969,69776.31
ARG,1970,71057.52
ARG,1971,74925.3
ARG,1972,76543.84
ARG,1973,80620.13
ARG,1974,83788.44
ARG,1975,82011.02
ARG,1976,81713.38
ARG,1977,85165.45
ARG,1978,82518.52
ARG,1979,90151.08
ARG,1980,95231.83
ARG,1981,94700.66
ARG,1982,95980.24
ARG,1983,105158.25
ARG,1984,111980.68
ARG,1985,107331.8
ARG,1986,122900.27
ARG,1987,131877.28
ARG,1988,139394.47
ARG,1989,136604.39
ARG,1990,150802.98
ARG,1991,179757.7
ARG,1992,212429.45
ARG,1993,244715.66
ARG,1994,287540.81
ARG,1995,318293.03
ARG,1996,415114.59
ARG,1997,429374.06
ARG,1998,430045.94
ARG,1999,401184.13
ARG,2000,391555.34
ARG,2001,365819.44
ARG,2002,343860.34
ARG,2003,362066.34
ARG,2004,383476.22
ARG,2005,409609.38
ARG,2006,446850.69
ARG,2007,485341.69
ARG,2008,524469.81
ARG,2009,527101.81
ARG,2010,574300.94
ARG,2011,629119.25
ARM,1950,
ARM,1951,
ARM,1952,
ARM,1953,
ARM,1954,
ARM,1955,
ARM,1956,
ARM,1957,
ARM,1958,
ARM,1959,
ARM,1960,
ARM,1961,
ARM,1962,
ARM,1963,
ARM,1964,
ARM,1965,
ARM,1966,
ARM,1967,
ARM,1968,
ARM,1969,
ARM,1970,
ARM,1971,
ARM,1972,
ARM,1973,
ARM,1974,
ARM,1975,
ARM,1976,
ARM,1977,
ARM,1978,
ARM,1979,
ARM,1980,
ARM,1981,
ARM,1982,
ARM,1983,
ARM,1984,
ARM,1985,
ARM,1986,
ARM,1987,
ARM,1988,
ARM,1989,
ARM,1990,13808.26
ARM,1991,15602.71
ARM,1992,9827.94
ARM,1993,7742.75
ARM,1994,7843.75
ARM,1995,7675.18
ARM,1996,8096.5
ARM,1997,7573.49
ARM,1998,7648.44
ARM,1999,7659.36
ARM,2000,7938.82
ARM,2001,8633.11
ARM,2002,9660.4
ARM,2003,10885.04
ARM,2004,11962.44
ARM,2005,13478.2
ARM,2006,15029.37
ARM,2007,16929.83
ARM,2008,17498.4
ARM,2009,15047.21
ARM,2010,15600.65
ARM,2011,16349.12
ATG,1950,
ATG,1951,
ATG,1952,
ATG,1953,
ATG,1954,
