Country,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2014,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2013,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2012,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2011,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2010,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2009,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2008,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2007,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2006,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2005,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2004,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2003,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2002,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2001,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2000,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1999,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1998,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1997,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1996,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1995,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1994,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1993,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1992,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1991,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1990,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1989,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1988,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1987,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1986,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1985,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1984,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1983,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1982,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1981,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1980
Afghanistan,75,70,67,68,66.0,63.0,64.0,63.0,58.0,58.0,50.0,41.0,36.0,33.0,24.0,27.0,27.0,28.0,31.0,20.0,12.0,18.0,21.0,23.0,25.0,33.0,35.0,25.0,11.0,15.0,16.0,5.0,5.0,3.0,4.0
Albania,98,99,99,99,99.0,98.0,99.0,98.0,97.0,98.0,97.0,97.0,98.0,97.0,97.0,97.0,96.0,99.0,98.0,97.0,99.0,96.0,94.0,78.0,94.0,94.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0
Algeria,95,95,95,95,95.0,95.0,93.0,95.0,95.0,88.0,86.0,87.0,86.0,89.0,86.0,83.0,85.0,89.0,88.0,88.0,87.0,88.0,88.0,89.0,89.0,87.0,85.0,79.0,73.0,69.0,,,,,
Andorra,97,96,99,99,99.0,99.0,99.0,96.0,93.0,98.0,99.0,99.0,97.0,96.0,98.0,90.0,89.0,90.0,,,,,,,,,,,,,,,,,
Angola,80,93,91,86,91.0,73.0,81.0,83.0,44.0,47.0,47.0,46.0,47.0,42.0,31.0,21.0,47.0,41.0,28.0,24.0,27.0,30.0,21.0,26.0,24.0,18.0,12.0,10.0,10.0,8.0,8.0,6.0,,,
Antigua and Barbuda,99,99,98,99,98.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,98.0,97.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,94.0,99.0,99.0,98.0,97.0,96.0,99.0,94.0,99.0,79.0,79.0,54.0
Argentina,94,94,91,92,94.0,94.0,94.0,91.0,91.0,98.0,93.0,96.0,93.0,83.0,83.0,86.0,84.0,88.0,83.0,85.0,82.0,81.0,81.0,80.0,87.0,80.0,80.0,75.0,67.0,66.0,62.0,61.0,58.0,49.0,44.0
Armenia,93,95,95,95,94.0,93.0,89.0,88.0,87.0,90.0,91.0,94.0,94.0,94.0,93.0,91.0,82.0,88.0,86.0,98.0,86.0,85.0,85.0,,,,,,,,,,,,
Australia,92,91,92,92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,92.0,92.0,90.0,88.0,82.0,77.0,86.0,86.0,88.0,90.0,91.0,93.0,95.0,93.0,88.0,81.0,75.0,68.0,62.0,55.0,48.0,40.0,33.0
Austria,83,83,83,83,83.0,83.0,83.0,85.0,83.0,86.0,83.0,84.0,83.0,84.0,81.0,74.0,82.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Azerbaijan,94,93,89,87,81.0,81.0,81.0,79.0,78.0,75.0,77.0,77.0,76.0,77.0,76.0,75.0,73.0,70.0,74.0,74.0,69.0,66.0,58.0,,,,,,,,,,,,
Bahamas,96,97,98,98,99.0,96.0,93.0,95.0,95.0,93.0,93.0,92.0,94.0,99.0,99.0,82.0,89.0,86.0,85.0,87.0,91.0,91.0,92.0,92.0,86.0,86.0,85.0,85.0,85.0,86.0,69.0,65.0,69.0,55.0,36.0
