Country,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2014,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2013,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2012,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2011,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2010,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2009,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2008,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2007,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2006,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2005,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2004,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2003,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2002,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2001,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2000,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1999,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1998,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1997,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1996,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1995,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1994,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1993,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1992,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1991,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1990,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1989
Afghanistan,75,70,67,68,66,63,64,63,,,,,,,,,,,,,,,,,,
Albania,98,99,99,99,99,98,99,98,98,98,99,97,96,96,96,96,94,97,96,88,99,,,,,
Algeria,95,95,95,95,95,94,91,90,80,83,81,,,,,,,,,,,,,,,
Andorra,96,94,97,99,96,96,94,91,84,79,77,81,84,84,84,75,80,75,,,,,,,,
Angola,80,93,91,86,91,73,81,83,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,99,99,98,99,98,98,98,97,99,99,97,99,99,96,,,,,,,,,,,,
Argentina,94,94,91,92,94,93,90,85,84,88,94,90,66,,,,,,,,,,,,,
Armenia,93,95,95,95,94,93,89,85,78,91,91,93,91,69,55,,,,,,,,,,,
Australia,91,91,91,92,92,94,94,94,95,95,95,95,95,94,,,,,,,,,,,,
Austria,83,83,83,83,83,83,83,85,83,86,83,83,81,44,33,,,,,,,,,,,
Azerbaijan,94,93,88,84,80,74,68,62,52,49,50,51,50,,,,,,,,,,,,,
Bahamas,96,97,96,95,98,95,90,93,96,93,93,88,89,21,,,,,,,,,,,,
Bahrain,99,99,99,99,99,98,98,97,98,98,98,98,98,99,97,97,95,95,96,95,93,90,57,,,
Bangladesh,95,95,95,95,94,97,96,95,86,45,11,5,,,,,,,,,,,,,,
Barbados,94,91,87,91,86,93,85,93,84,92,93,91,66,18,,,,,,,,,,,,
Belarus,97,98,97,98,96,98,98,91,98,99,99,56,99,93,70,,,,,,,,,,,
Belgium,98,98,98,97,97,97,98,94,94,77,64,64,60,60,60,46,31,2,,,,,,,,
Belize,95,95,98,95,96,97,94,96,98,96,97,96,97,96,76,,,,,,,,,,,
Benin,70,69,76,75,76,79,75,82,74,70,75,73,15,,,,,,,,,,,,,
