Country,Hib (Hib3) immunization coverage among 1-year-olds (%); 2014,Hib (Hib3) immunization coverage among 1-year-olds (%); 2013,Hib (Hib3) immunization coverage among 1-year-olds (%); 2012,Hib (Hib3) immunization coverage among 1-year-olds (%); 2011,Hib (Hib3) immunization coverage among 1-year-olds (%); 2010,Hib (Hib3) immunization coverage among 1-year-olds (%); 2009,Hib (Hib3) immunization coverage among 1-year-olds (%); 2008,Hib (Hib3) immunization coverage among 1-year-olds (%); 2007,Hib (Hib3) immunization coverage among 1-year-olds (%); 2006,Hib (Hib3) immunization coverage among 1-year-olds (%); 2005,Hib (Hib3) immunization coverage among 1-year-olds (%); 2004,Hib (Hib3) immunization coverage among 1-year-olds (%); 2003,Hib (Hib3) immunization coverage among 1-year-olds (%); 2002,Hib (Hib3) immunization coverage among 1-year-olds (%); 2001,Hib (Hib3) immunization coverage among 1-year-olds (%); 2000,Hib (Hib3) immunization coverage among 1-year-olds (%); 1999,Hib (Hib3) immunization coverage among 1-year-olds (%); 1998,Hib (Hib3) immunization coverage among 1-year-olds (%); 1997,Hib (Hib3) immunization coverage among 1-year-olds (%); 1996,Hib (Hib3) immunization coverage among 1-year-olds (%); 1995,Hib (Hib3) immunization coverage among 1-year-olds (%); 1994,Hib (Hib3) immunization coverage among 1-year-olds (%); 1993,Hib (Hib3) immunization coverage among 1-year-olds (%); 1992,Hib (Hib3) immunization coverage among 1-year-olds (%); 1991
Afghanistan,75,70,67,68,66,63,,,,,,,,,,,,,,,,,,
Albania,98,99,99,99,99,98,,,,,,,,,,,,,,,,,,
Algeria,95,95,95,95,95,95,93,,,,,,,,,,,,,,,,,
Andorra,97,96,98,99,98,97,98,95,93,97,95,91,92,92,90,80,55,,,,,,,
Angola,80,93,91,86,91,73,81,83,,,,,,,,,,,,,,,,
Antigua and Barbuda,99,99,98,99,98,94,97,99,99,99,97,97,97,97,,,,,,,,,,
Argentina,94,94,91,92,94,94,94,91,91,98,93,96,93,83,83,86,49,,,,,,,
Armenia,93,95,95,95,48,,,,,,,,,,,,,,,,,,,
Australia,91,91,92,92,92,94,94,94,95,94,95,95,95,95,90,87,82,77,,,,,,
Austria,83,83,83,83,83,83,83,85,83,86,83,84,82,74,72,74,,,,,,,,
Azerbaijan,94,93,89,36,,,,,,,,,,,,,,,,,,,,
Bahamas,96,97,98,98,98,96,94,95,95,93,93,93,94,99,90,78,,,,,,,,
Bahrain,99,99,99,99,99,97,97,97,97,98,98,97,98,99,97,96,39,,,,,,,
Bangladesh,95,95,95,95,94,97,,,,,,,,,,,,,,,,,,
Barbados,94,91,87,91,86,93,85,93,84,92,93,88,66,18,,,,,,,,,,
Belarus,20,23,22,21,,19,6,,,,,,,,,,,,,,,,,
Belgium,98,98,98,98,98,98,98,98,98,95,87,87,86,86,86,59,33,6,10,13,16,20,,
Belize,95,95,98,95,96,97,94,96,98,96,97,96,89,96,,,,,,,,,,
Benin,70,69,76,75,76,79,75,82,74,35,,,,,,,,,,,,,,
Bhutan,99,97,97,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),94,94,93,95,91,93,88,84,83,85,84,80,77,77,77,,,,,,,,,
Bosnia and Herzegovina,79,83,87,85,83,80,83,83,82,50,49,,,,,,,,,,,,,
Botswana,96,96,96,95,,,,,,,,,,,,,,,,,,,,
Brazil,95,98,94,99,98,98,98,97,96,96,95,94,93,93,90,,,,,,,,,
Brunei Darussalam,96,99,90,97,95,99,98,99,97,94,92,92,94,,,,,,,,,,,
Bulgaria,83,95,95,95,91,,,,,,,,,,,,,,,,,,,
Burkina Faso,91,88,90,91,91,92,93,89,76,,,,,,,,,,,,,,,
Burundi,95,96,96,96,96,94,92,99,92,87,83,,,,,,,,,,,,,
Cote d'Ivoire,67,80,82,62,85,81,,,,,,,,,,,,,,,,,,
Cabo Verde,95,93,94,90,,,,,,,,,,,,,,,,,,,,
Cambodia,97,92,95,94,92,,,,,,,,,,,,,,,,,,,
Cameroon,87,89,85,82,84,80,,,,,,,,,,,,,,,,,,
Canada,96,96,95,96,96,96,95,95,95,93,90,88,88,88,88,88,88,87,84,,,,,
Central African Republic,47,23,47,47,45,42,,,,,,,,,,,,,,,,,,
Chad,46,48,45,33,39,24,17,,,,,,,,,,,,,,,,,
Chile,92,90,90,94,92,94,95,96,94,91,93,96,97,97,91,95,90,90,91,,,,,
Colombia,90,91,91,85,88,92,92,93,93,93,89,93,69,55,65,64,62,,,,,,,
Comoros,80,83,86,83,74,38,,,,,,,,,,,,,,,,,,
Congo,90,85,79,80,74,72,,,,,,,,,,,,,,,,,,
Cook Islands,99,98,98,93,99,82,,,,,,,,,,,,,,,,,,
Costa Rica,91,95,90,81,90,87,87,88,88,89,90,87,93,89,92,68,26,,,,,,,
Croatia,95,96,96,96,97,96,96,96,96,96,95,95,79,,,,,,,,,,,
Cuba,96,96,96,96,96,96,97,97,97,94,99,99,99,99,99,99,,,,,,,,
Cyprus,96,96,96,96,96,96,90,90,90,58,58,58,32,32,32,,,,,,,,,
Czech Republic,99,99,99,99,99,99,99,99,97,97,98,97,95,,,,,,,,,,,
Democratic People's Republic of Korea,93,93,32,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,80,74,75,74,60,72,,,,,,,,,,,,,,,,,,
Denmark,94,94,94,91,90,89,88,87,93,93,95,96,96,95,95,95,97,99,93,78,88,82,,
Djibouti,78,82,81,87,88,89,89,25,,,,,,,,,,,,,,,,
Dominica,97,96,97,98,98,99,96,93,7,,,,,,,,,,,,,,,
Dominican Republic,87,75,70,71,81,77,79,70,80,87,80,75,43,20,,,,,,,,,,
Ecuador,83,87,87,88,90,93,95,95,94,90,86,54,,,,,,,,,,,,
Egypt,94,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,93,92,92,89,89,91,98,99,96,89,90,94,81,,,,,,,,,,,
Equatorial Guinea,24,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,94,94,94,99,99,99,99,,,,,,,,,,,,,,,,,
Estonia,93,94,94,93,94,95,95,95,88,37,27,,,,,,,,,,,,,
Ethiopia,77,72,69,65,62,56,52,47,,,,,,,,,,,,,,,,
Fiji,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,,,,,,
Finland,98,98,99,99,99,98,98,97,98,98,96,96,96,96,96,96,96,96,96,94,93,97,97,
France,98,98,98,98,97,97,97,97,97,97,97,87,87,86,86,85,79,,,,,,,
Gabon,70,79,82,75,67,,,,,,,,,,,,,,,,,,,
Gambia,96,97,98,96,97,99,97,94,95,95,93,91,89,87,90,94,97,,,,,,,
Georgia,91,96,92,94,67,,,,,,,,,,,,,,,,,,,
Germany,94,94,94,94,94,94,94,94,93,94,94,93,94,94,94,92,90,88,88,85,82,80,74,60
Ghana,98,90,92,91,94,94,93,94,84,84,80,80,80,,,,,,,,,,,
Greece,99,94,94,83,83,83,83,83,84,84,85,86,86,87,87,88,71,54,36,19,2,,,
Grenada,97,97,97,94,97,99,99,96,91,99,83,97,98,96,33,,,,,,,,,
Guatemala,73,85,96,85,94,92,95,85,89,87,,,,,,,,,,,,,,
Guinea,51,63,63,63,64,57,,,,,,,,,,,,,,,,,,
Guinea-Bissau,80,80,80,80,80,80,,,,,,,,,,,,,,,,,,
Guyana,98,98,97,93,95,98,93,94,93,93,91,90,91,85,,,,,,,,,,
Haiti,48,68,,,,,,,,,,,,,,,,,,,,,,
Honduras,85,87,88,91,95,98,93,94,95,98,94,92,95,96,94,,,,,,,,,
Hungary,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,
Iceland,90,91,89,95,96,96,98,97,97,95,99,97,95,92,98,98,99,99,99,99,99,99,99,99
India,20,20,,,,,,,,,,,,,,,,,,,,,,
Indonesia,21,4,,,,,,,,,,,,,,,,,,,,,,
Iraq,64,68,36,,,,,,,,,,,,,,,,,,,,,
Ireland,96,95,95,95,94,93,93,92,91,90,89,86,83,84,85,86,84,76,,,,,,
Israel,94,94,94,94,95,96,94,95,94,93,95,93,91,94,93,93,94,92,92,93,92,,,
Italy,94,96,96,96,95,96,96,96,96,95,94,90,83,70,55,,,,,,,,,
Jamaica,92,93,96,91,94,90,91,91,97,99,98,35,,,,,,,,,,,,
Jordan,98,98,98,98,98,98,97,98,98,95,95,97,95,59,,,,,,,,,,
Kazakhstan,95,98,97,95,96,97,49,,,,,,,,,,,,,,,,,
Kenya,81,82,83,88,83,84,85,81,80,76,73,73,84,,,,,,,,,,,
Kiribati,75,95,94,95,91,86,83,,,,,,,,,,,,,,,,,
Kuwait,95,99,98,99,98,99,99,99,99,99,98,99,99,99,98,94,94,,,,,,,
Kyrgyzstan,96,97,96,96,96,,,,,,,,,,,,,,,,,,,
Lao People's Democratic Republic,88,87,79,78,74,,,,,,,,,,,,,,,,,,,
Latvia,92,94,90,91,90,94,94,94,96,99,98,96,87,84,79,76,47,67,35,58,10,,,
Lebanon,81,81,81,81,81,81,81,80,78,77,75,74,,,,,,,,,,,,
Lesotho,96,96,96,96,94,91,,,,,,,,,,,,,,,,,,
Liberia,50,76,80,77,47,64,64,,,,,,,,,,,,,,,,,
Libya,94,96,98,98,98,98,98,56,,,,,,,,,,,,,,,,
Lithuania,93,93,93,92,95,98,96,95,94,61,35,10,5,4,2,2,,,,,,,,
Luxembourg,99,99,99,99,99,99,99,99,98,98,98,98,98,96,93,91,88,86,,,,,,
Madagascar,73,74,70,73,71,77,52,,,,,,,,,,,,,,,,,
Malawi,91,89,96,97,93,93,91,87,99,93,89,84,64,,,,,,,,,,,
Malaysia,97,97,99,95,95,95,95,90,89,85,71,,,,,,,,,,,,,
Maldives,99,58,,,,,,,,,,,,,,,,,,,,,,
Mali,77,71,68,66,73,73,74,44,16,3,,,,,,,,,,,,,,
Malta,99,99,99,96,76,73,72,72,83,83,83,84,84,84,93,91,89,64,38,,,,,
Marshall Islands,65,66,67,80,92,99,92,83,60,69,46,70,80,45,45,,,,,,,,,
Mauritania,84,80,80,75,64,64,,,,,,,,,,,,,,,,,,
Mauritius,97,98,98,98,99,99,99,96,96,,,,,,,,,,,,,,,
Mexico,87,83,99,97,95,95,96,98,98,98,98,98,97,97,97,,,,,,,,,
Micronesia (Federated States of),68,68,66,72,70,73,73,79,59,74,65,68,70,73,75,40,,,,,,,,
Monaco,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,
Mongolia,99,98,99,99,96,97,96,78,56,28,,,,,,,,,,,,,,
Montenegro,91,94,94,90,90,87,93,89,90,,,,,,,,,,,,,,,
Morocco,99,99,99,99,99,99,99,91,,,,,,,,,,,,,,,,
Mozambique,78,78,76,76,74,74,,,,,,,,,,,,,,,,,,
Myanmar,75,75,,,,,,,,,,,,,,,,,,,,,,
Namibia,88,89,84,82,83,,,,,,,,,,,,,,,,,,,
Nauru,95,87,79,99,99,99,,,,,,,,,,,,,,,,,,
Nepal,92,92,90,92,,,,,,,,,,,,,,,,,,,,
Netherlands,96,97,97,97,97,97,97,96,96,97,97,96,96,96,96,96,96,96,,,,,,
New Zealand,93,92,93,94,89,98,86,78,80,80,83,85,88,90,90,88,81,86,,,,,,
Nicaragua,98,98,98,98,98,98,97,93,88,86,79,86,85,87,83,80,,,,,,,,
Niger,68,67,71,75,70,71,,,,,,,,,,,,,,,,,,
Nigeria,66,49,10,,,,,,,,,,,,,,,,,,,,,
Niue,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,
Norway,94,95,95,95,94,95,94,95,95,93,94,94,95,93,93,94,95,96,97,,,,,
Oman,99,98,98,99,99,98,99,99,98,99,99,99,97,,,,,,,,,,,
Pakistan,73,73,72,74,82,76,,,,,,,,,,,,,,,,,,
Palau,99,99,89,85,66,48,92,95,98,98,98,94,90,93,96,96,74,,,,,,,
Panama,80,80,85,87,94,85,86,85,88,92,95,98,99,99,,,,,,,,,,
Papua New Guinea,62,68,63,61,56,62,,,,,,,,,,,,,,,,,,
Paraguay,87,86,87,89,89,85,87,88,92,93,92,86,,,,,,,,,,,,
Peru,88,88,95,91,93,93,93,93,94,94,96,41,40,38,43,28,12,,,,,,,
Philippines,79,94,23,14,1,,,,,,,,,,,,,,,,,,,
Poland,99,99,99,99,99,99,94,88,31,22,,,,,,,,,,,,,,
Portugal,98,98,98,97,97,96,97,97,97,93,95,99,94,90,86,91,95,,,,,,,
Qatar,99,99,92,93,97,99,97,94,96,97,96,92,96,93,80,92,94,92,,,,,,
Republic of Korea,97,,,,,,,,,,,,,,,,,,,,,,,
Republic of Moldova,89,89,90,78,63,47,,,,,,,,,,,,,,,,,,
Romania,92,92,92,89,,,,,,,,,,,,,,,,,,,,
Russian Federation,31,25,18,,,,,,,,,,,,,,,,,,,,,
Rwanda,99,99,98,97,97,97,97,97,99,95,89,96,88,,,,,,,,,,,
Saint Kitts and Nevis,98,97,98,98,96,97,97,99,99,99,95,99,95,99,12,,,,,,,,,
Saint Lucia,99,99,98,99,97,95,96,99,85,95,91,84,14,,,,,,,,,,,
Saint Vincent and the Grenadines,98,98,97,96,99,99,99,99,99,99,99,27,,,,,,,,,,,,
Samoa,91,95,99,91,87,72,32,,,,,,,,,,,,,,,,,
San Marino,79,69,96,85,78,92,87,92,95,94,98,96,95,93,92,95,92,88,84,80,76,72,69,65
Sao Tome and Principe,95,97,96,96,98,,,,,,,,,,,,,,,,,,,
Saudi Arabia,98,98,98,98,98,98,98,96,96,96,96,95,95,,,,,,,,,,,
Senegal,89,92,91,92,89,86,88,94,89,18,,,,,,,,,,,,,,
Serbia,94,92,90,93,91,94,98,89,42,,,,,,,,,,,,,,,
Seychelles,99,98,98,99,99,,,,,,,,,,,,,,,,,,,
Sierra Leone,83,92,91,89,86,84,77,63,,,,,,,,,,,,,,,,
Slovakia,97,98,99,99,99,99,99,99,99,99,99,99,92,70,59,47,36,30,3,,,,,
Slovenia,95,95,96,96,96,96,97,97,97,95,94,95,93,93,,,,,,,,,,
Solomon Islands,88,94,99,99,90,92,89,,,,,,,,,,,,,,,,,
Somalia,42,42,,,,,,,,,,,,,,,,,,,,,,
South Africa,70,65,68,72,66,70,73,72,74,72,64,69,70,71,73,,,,,,,,,
Spain,96,96,97,97,97,96,97,96,98,96,97,98,97,96,92,82,82,,,,,,,
Sri Lanka,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
Sudan,94,93,92,93,75,72,78,,,,,,,,,,,,,,,,,
Suriname,85,86,84,86,86,87,84,84,84,83,,,,,,,,,,,,,,
Swaziland,98,98,95,91,89,89,,,,,,,,,,,,,,,,,,
Sweden,98,98,98,98,98,98,98,98,98,98,99,99,98,98,98,98,99,99,99,99,99,99,90,55
Switzerland,95,95,95,95,95,95,95,93,93,93,91,91,91,91,91,91,77,,,,,,,
Syrian Arab Republic,43,41,45,72,80,80,79,80,80,80,81,82,83,84,,,,,,,,,,
Tajikistan,97,96,94,96,93,93,46,,,,,,,,,,,,,,,,,
The former Yugoslav republic of Macedonia,94,97,95,96,89,82,13,,,,,,,,,,,,,,,,,
Timor-Leste,77,82,,,,,,,,,,,,,,,,,,,,,,
Togo,87,84,84,85,83,78,24,,,,,,,,,,,,,,,,,
Tonga,82,82,77,82,81,81,81,82,82,82,,,,,,,,,,,,,,
Trinidad and Tobago,92,92,92,90,90,90,90,88,89,95,94,92,59,85,74,49,8,,,,,,,
Tunisia,98,98,97,43,,,,,,80,97,96,,,,,,,,,,,,
Turkey,96,98,97,97,97,96,96,76,,,,,,,,,,,,,,,,
Turkmenistan,97,97,97,71,58,,,,,,,,,,,,,,,,,,,
Tuvalu,90,90,97,96,89,84,,,,,,,,,,,,,,,,,,
