,Series Name,Series Code,Country Name,Country Code,1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
217,"Health expenditure per capita, PPP (constant 2011 international $)",SH.XPD.PCAP.PP.KD,Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.98351391,89.44017773,87.52090345,88.32306226,86.85601592,88.71198979,111.4631064,148.0012021,153.4462057,141.0557326,160.3680266,156.5293486,166.5167266,
218,"Health expenditure per capita, PPP (constant 2011 international $)",SH.XPD.PCAP.PP.KD,Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.5377855,247.1376732,229.8300739,239.4063957,263.7093118,263.0022674,275.8667811,302.7291147,325.2822418,361.8436802,380.4157845,412.8770907,461.170785,511.1042673,540.7688721,497.9283331,554.4841174,544.0061718,564.0659649,614.5359461,
219,"Health expenditure per capita, PPP (constant 2011 international $)",SH.XPD.PCAP.PP.KD,Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.7694241,236.5296102,256.9033523,268.8515394,265.3882425,278.0811557,323.07174,332.4606516,346.5477253,360.8093318,355.1400135,380.5674869,453.2422424,510.1344154,654.9774122,644.2558833,686.2186592,821.3388854,858.8603564,932.1002838,
220,"Health expenditure per capita, PPP (constant 2011 international $)",SH.XPD.PCAP.PP.KD,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"Health expenditure per capita, PPP (constant 2011 international $)",SH.XPD.PCAP.PP.KD,Andorra,ADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380.969743,1516.853223,1709.126187,2268.665063,1759.841138,1842.386063,1914.264862,2101.66749,2154.416149,2250.641541,2210.098615,2428.054636,2996.340868,2910.22717,2926.503202,3325.197128,2788.292807,3426.500209,5564.650772,4272.523818,
222,"Health expenditure per capita, PPP (constant 2011 international $)",SH.XPD.PCAP.PP.KD,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4636206,60.22757641,79.03869714,79.53522966,82.08157415,69.20173589,137.8811725,103.8896713,130.4836847,153.300672,157.521163,209.6148394,189.9018691,242.1542637,274.7345102,215.7057657,220.5002824,223.2445288,301.9891489,239.0102329,
223,"Health expenditure per capita, PPP (constant 2011 international $)",SH.XPD.PCAP.PP.KD,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.4213057,612.4849049,638.5560777,652.8050096,680.3824839,631.6501361,668.4926242,678.5131132,744.8526988,740.1713175,840.8768084,956.5811278,1046.250352,1160.01048,1053.675724,1134.219371,1129.023728,1128.176372,1121.228751,1208.075846,
224,"Health expenditure per capita, PPP (constant 2011 international $)",SH.XPD.PCAP.PP.KD,Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.0843967,661.9501881,751.2249633,798.541251,848.433769,837.5075688,824.0230872,654.3601659,710.749021,785.4088267,891.6832748,979.1829161,1077.790789,1174.270914,1345.345484,1284.831468,1227.337517,1133.039588,1174.485415,1137.243423,
225,"Health expenditure per capita, PPP (constant 2011 international $)",SH.XPD.PCAP.PP.KD,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5272645,100.28471,106.1639136,115.8336846,120.6592937,144.6637881,154.7937119,162.4024887,195.3098747,219.9450711,247.7025987,252.9707709,279.3632095,269.6726375,279.9146267,290.9018988,252.650423,331.6103735,352.2560004,362.1252788,
226,"Health expenditure per capita, PPP (constant 2011 international $)",SH.XPD.PCAP.PP.KD,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
