,Series Name,Series Code,Country Name,Country Code,1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
434,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,21.3,21.4,21.4,21.5,23.3,25.0,26.8,28.5,30.3,32.0,33.8,35.5,37.3,39.1,40.8,42.6,44.4,46.2,48.0,49.8,51.6,53.4,55.2,55.3
435,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.7,95.7,95.7,95.8,95.8,95.9,96.1,96.2,96.1,96.1,96.1,96.0,96.0,95.9,95.8,95.7,95.6,95.5,95.4,95.2,95.1,95.1
436,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,91.5,91.6,91.7,91.8,91.5,91.2,90.9,90.5,90.2,89.9,89.5,89.2,88.8,88.5,88.1,87.7,87.4,87.0,86.6,86.2,85.7,85.3,84.9,84.5,84.0,83.6
437,Improved water source (% of population with access),SH.H2O.SAFE.ZS,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,93.6,94.0,94.4,94.8,95.3,95.7,96.1,96.5,96.9,97.4,97.8,98.2,98.6,99.0,99.4,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
438,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Andorra,ADO,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
439,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,45.7,45.8,45.8,45.9,46.3,46.1,45.9,45.8,45.7,45.7,45.7,45.7,45.7,45.8,45.9,46.0,46.2,46.4,46.6,46.9,47.1,47.5,47.8,48.2,48.6,49.0
440,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,97.4,97.5,97.5,97.5,97.5,97.6,97.6,97.6,97.6,97.7,97.7,97.7,97.7,97.8,97.8,97.8,97.8,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9
441,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,93.8,94.1,94.3,94.6,94.9,95.1,95.4,95.6,95.8,96.1,96.3,96.5,96.7,96.9,97.1,97.3,97.5,97.7,97.9,98.1,98.2,98.4,98.6,98.8,98.9,99.1
442,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,90.7,90.6,90.5,90.5,91.0,91.5,92.1,92.6,93.1,93.7,94.3,94.9,95.5,96.1,96.7,97.3,97.9,98.4,99.0,99.7,99.9,100.0,100.0
443,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,91.0,91.3,91.6,91.9,92.3,92.6,92.9,93.2,93.6,93.9,94.2,94.5,94.9,95.2,95.5,95.8,96.2,96.5,96.8,97.1,97.4,97.8,98.1,98.1,98.1,98.1
444,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
445,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
446,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,69.1,69.0,68.9,68.8,69.5,70.2,70.9,71.7,72.4,73.2,74.1,75.0,75.8,76.7,77.6,78.5,79.3,80.2,81.0,81.9,82.8,83.6,84.5,85.3,86.2,87.0
