,0,1,2,3,4
0,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Country
1,Albania,Albania,Albania,Albania,Afghanistan
2,Algeria,Algeria,Algeria,Algeria,Albania
3,Andorra,Andorra,Andorra,Angola,Algeria
4,Angola,Angola,Angola,Bahamas,Andorra
5,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Bahrain,Angola
6,Argentina,Argentina,Argentina,Bangladesh,Antigua and Barbuda
7,Armenia,Armenia,Armenia,Belize,Argentina
8,Australia,Australia,Australia,Benin,Armenia
9,Austria,Austria,Austria,Bhutan,Australia
10,Azerbaijan,Azerbaijan,Azerbaijan,Bolivia (Plurinational State of),Austria
11,Bahamas,Bahamas,Bahamas,Botswana,Azerbaijan
12,Bahrain,Bahrain,Bahrain,Brazil,Bahamas
13,Bangladesh,Bangladesh,Bangladesh,Brunei Darussalam,Bahrain
14,Barbados,Barbados,Barbados,Burkina Faso,Bangladesh
15,Belarus,Belarus,Belarus,Burundi,Barbados
16,Belgium,Belgium,Belgium,Cote d'Ivoire,Belarus
17,Belize,Belize,Belize,Cabo Verde,Belgium
18,Benin,Benin,Benin,Cambodia,Belize
19,Bhutan,Bhutan,Bhutan,Cameroon,Benin
20,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia (Plurinational State of),Central African Republic,Bhutan
21,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Chad,Bolivia (Plurinational State of)
22,Botswana,Botswana,Botswana,Colombia,Bosnia and Herzegovina
23,Brazil,Brazil,Brazil,Comoros,Botswana
24,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,Congo,Brazil
25,Bulgaria,Bulgaria,Bulgaria,Democratic People's Republic of Korea,Brunei Darussalam
26,Burkina Faso,Burkina Faso,Burkina Faso,Democratic Republic of the Congo,Bulgaria
27,Burundi,Burundi,Burundi,Djibouti,Burkina Faso
28,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Dominican Republic,Burundi
29,Cabo Verde,Cabo Verde,Cabo Verde,Ecuador,Cote d'Ivoire
30,Cambodia,Cambodia,Cambodia,Egypt,Cabo Verde
31,Cameroon,Cameroon,Cameroon,El Salvador,Cambodia
32,Canada,Canada,Canada,Equatorial Guinea,Cameroon
33,Central African Republic,Central African Republic,Central African Republic,Eritrea,Canada
34,Chad,Chad,Chad,Ethiopia,Central African Republic
35,Chile,Chile,Chile,Fiji,Chad
36,Colombia,China,China,Gabon,Chile
37,Comoros,Colombia,Colombia,Gambia,China
38,Congo,Comoros,Comoros,Ghana,Colombia
39,Cook Islands,Congo,Congo,Guatemala,Comoros
40,Costa Rica,Cook Islands,Cook Islands,Guinea,Congo
41,Croatia,Costa Rica,Costa Rica,Guinea-Bissau,Cook Islands
42,Cuba,Croatia,Croatia,Guyana,Costa Rica
43,Cyprus,Cuba,Cuba,Haiti,Croatia
44,Czech Republic,Cyprus,Cyprus,Honduras,Cuba
45,Democratic People's Republic of Korea,Czech Republic,Czech Republic,India,Cyprus
46,Democratic Republic of the Congo,Democratic People's Republic of Korea,Democratic People's Republic of Korea,Indonesia,Czech Republic
47,Denmark,Democratic Republic of the Congo,Democratic Republic of the Congo,Iran (Islamic Republic of),Democratic People's Republic of Korea
48,Djibouti,Djibouti,Denmark,Iraq,Democratic Republic of the Congo
49,Dominica,Dominica,Djibouti,Jamaica,Denmark
50,Dominican Republic,Dominican Republic,Dominica,Jordan,Djibouti
51,Ecuador,Ecuador,Dominican Republic,Kenya,Dominica
52,Egypt,Egypt,Ecuador,Kuwait,Dominican Republic
53,El Salvador,El Salvador,Egypt,Lao People's Democratic Republic,Ecuador
54,Equatorial Guinea,Equatorial Guinea,El Salvador,Lesotho,Egypt
55,Eritrea,Eritrea,Equatorial Guinea,Liberia,El Salvador
56,Estonia,Estonia,Eritrea,Madagascar,Equatorial Guinea
57,Ethiopia,Ethiopia,Estonia,Malawi,Eritrea
58,Fiji,Fiji,Ethiopia,Malaysia,Estonia
59,Finland,France,Fiji,Maldives,Ethiopia
60,France,Gabon,Finland,Mali,Fiji
61,Gabon,Gambia,France,Mauritania,Finland
62,Gambia,Georgia,Gabon,Mauritius,France
63,Georgia,Germany,Gambia,Mexico,Gabon
64,Germany,Ghana,Georgia,Morocco,Gambia
65,Ghana,Greece,Germany,Mozambique,Georgia
66,Greece,Grenada,Ghana,Myanmar,Germany
67,Grenada,Guatemala,Greece,Namibia,Ghana
68,Guatemala,Guinea,Grenada,Nepal,Greece
69,Guinea,Guinea-Bissau,Guatemala,Nicaragua,Grenada
70,Guinea-Bissau,Guyana,Guinea,Niger,Guatemala
71,Guyana,Haiti,Guinea-Bissau,Nigeria,Guinea
72,Haiti,Honduras,Guyana,Oman,Guinea-Bissau
73,Honduras,India,Haiti,Pakistan,Guyana
74,Hungary,Indonesia,Honduras,Papua New Guinea,Haiti
75,Iceland,Iran (Islamic Republic of),Hungary,Paraguay,Honduras
76,India,Iraq,Iceland,Peru,Hungary
77,Indonesia,Ireland,India,Philippines,Iceland
78,Iraq,Israel,Indonesia,Rwanda,India
79,Ireland,Italy,Iran (Islamic Republic of),Senegal,Indonesia
80,Israel,Jamaica,Iraq,Sierra Leone,Iran (Islamic Republic of)
81,Italy,Jordan,Ireland,Solomon Islands,Iraq
82,Jamaica,Kazakhstan,Israel,Somalia,Ireland
83,Jordan,Kenya,Italy,South Africa,Israel
84,Kazakhstan,Kiribati,Jamaica,South Sudan,Italy
85,Kenya,Kuwait,Japan,Sri Lanka,Jamaica
86,Kiribati,Kyrgyzstan,Jordan,Sudan,Japan
87,Kuwait,Lao People's Democratic Republic,Kazakhstan,Suriname,Jordan
88,Kyrgyzstan,Latvia,Kenya,Swaziland,Kazakhstan
89,Lao People's Democratic Republic,Lebanon,Kiribati,Syrian Arab Republic,Kenya
