Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Albania,Albania,Albania,Albania,Albania
Algeria,Algeria,Algeria,Algeria,Algeria
Andorra,Andorra,Andorra,Angola,Andorra
Angola,Angola,Angola,Bahamas,Angola
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Bahrain,Antigua and Barbuda
Argentina,Argentina,Argentina,Bangladesh,Argentina
Armenia,Armenia,Armenia,Belize,Armenia
Australia,Australia,Australia,Benin,Australia
Austria,Austria,Austria,Bhutan,Austria
Azerbaijan,Azerbaijan,Azerbaijan,Bolivia (Plurinational State of),Azerbaijan
Bahamas,Bahamas,Bahamas,Botswana,Bahamas
Bahrain,Bahrain,Bahrain,Brazil,Bahrain
Bangladesh,Bangladesh,Bangladesh,Brunei Darussalam,Bangladesh
Barbados,Barbados,Barbados,Burkina Faso,Barbados
Belarus,Belarus,Belarus,Burundi,Belarus
Belgium,Belgium,Belgium,Cote d'Ivoire,Belgium
Belize,Belize,Belize,Cabo Verde,Belize
Benin,Benin,Benin,Cambodia,Benin
Bhutan,Bhutan,Bhutan,Cameroon,Bhutan
Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia (Plurinational State of),Central African Republic,Bolivia (Plurinational State of)
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Chad,Bosnia and Herzegovina
Botswana,Botswana,Botswana,Colombia,Botswana
Brazil,Brazil,Brazil,Comoros,Brazil
Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,Congo,Brunei Darussalam
Bulgaria,Bulgaria,Bulgaria,Democratic People's Republic of Korea,Bulgaria
Burkina Faso,Burkina Faso,Burkina Faso,Democratic Republic of the Congo,Burkina Faso
Burundi,Burundi,Burundi,Djibouti,Burundi
Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Dominican Republic,Cote d'Ivoire
Cabo Verde,Cabo Verde,Cabo Verde,Ecuador,Cabo Verde
Cambodia,Cambodia,Cambodia,Egypt,Cambodia
Cameroon,Cameroon,Cameroon,El Salvador,Cameroon
Canada,Canada,Canada,Equatorial Guinea,Canada
Central African Republic,Central African Republic,Central African Republic,Eritrea,Central African Republic
Chad,Chad,Chad,Ethiopia,Chad
Chile,Chile,Chile,Fiji,Chile
Colombia,China,China,Gabon,China
Comoros,Colombia,Colombia,Gambia,Colombia
Congo,Comoros,Comoros,Ghana,Comoros
Cook Islands,Congo,Congo,Guatemala,Congo
Costa Rica,Cook Islands,Cook Islands,Guinea,Cook Islands
Croatia,Costa Rica,Costa Rica,Guinea-Bissau,Costa Rica
Cuba,Croatia,Croatia,Guyana,Croatia
Cyprus,Cuba,Cuba,Haiti,Cuba
Czech Republic,Cyprus,Cyprus,Honduras,Cyprus
Democratic People's Republic of Korea,Czech Republic,Czech Republic,India,Czech Republic
Democratic Republic of the Congo,Democratic People's Republic of Korea,Democratic People's Republic of Korea,Indonesia,Democratic People's Republic of Korea
Denmark,Democratic Republic of the Congo,Democratic Republic of the Congo,Iran (Islamic Republic of),Democratic Republic of the Congo
Djibouti,Djibouti,Denmark,Iraq,Denmark
Dominica,Dominica,Djibouti,Jamaica,Djibouti
Dominican Republic,Dominican Republic,Dominica,Jordan,Dominica
Ecuador,Ecuador,Dominican Republic,Kenya,Dominican Republic
Egypt,Egypt,Ecuador,Kuwait,Ecuador
El Salvador,El Salvador,Egypt,Lao People's Democratic Republic,Egypt
Equatorial Guinea,Equatorial Guinea,El Salvador,Lesotho,El Salvador
Eritrea,Eritrea,Equatorial Guinea,Liberia,Equatorial Guinea
Estonia,Estonia,Eritrea,Madagascar,Eritrea
Ethiopia,Ethiopia,Estonia,Malawi,Estonia
Fiji,Fiji,Ethiopia,Malaysia,Ethiopia
Finland,France,Fiji,Maldives,Fiji
France,Gabon,Finland,Mali,Finland
Gabon,Gambia,France,Mauritania,France
Gambia,Georgia,Gabon,Mauritius,Gabon
Georgia,Germany,Gambia,Mexico,Gambia
Germany,Ghana,Georgia,Morocco,Georgia
Ghana,Greece,Germany,Mozambique,Germany
Greece,Grenada,Ghana,Myanmar,Ghana
Grenada,Guatemala,Greece,Namibia,Greece
Guatemala,Guinea,Grenada,Nepal,Grenada
Guinea,Guinea-Bissau,Guatemala,Nicaragua,Guatemala
Guinea-Bissau,Guyana,Guinea,Niger,Guinea
Guyana,Haiti,Guinea-Bissau,Nigeria,Guinea-Bissau
Haiti,Honduras,Guyana,Oman,Guyana
Honduras,India,Haiti,Pakistan,Haiti
Hungary,Indonesia,Honduras,Papua New Guinea,Honduras
Iceland,Iran (Islamic Republic of),Hungary,Paraguay,Hungary
India,Iraq,Iceland,Peru,Iceland
Indonesia,Ireland,India,Philippines,India
Iraq,Israel,Indonesia,Rwanda,Indonesia
Ireland,Italy,Iran (Islamic Republic of),Senegal,Iran (Islamic Republic of)
Israel,Jamaica,Iraq,Sierra Leone,Iraq
Italy,Jordan,Ireland,Solomon Islands,Ireland
Jamaica,Kazakhstan,Israel,Somalia,Israel
Jordan,Kenya,Italy,South Africa,Italy
Kazakhstan,Kiribati,Jamaica,South Sudan,Jamaica
Kenya,Kuwait,Japan,Sri Lanka,Japan
Kiribati,Kyrgyzstan,Jordan,Sudan,Jordan
Kuwait,Lao People's Democratic Republic,Kazakhstan,Suriname,Kazakhstan
Kyrgyzstan,Latvia,Kenya,Swaziland,Kenya
Lao People's Democratic Republic,Lebanon,Kiribati,Syrian Arab Republic,Kiribati
Latvia,Lesotho,Kuwait,Thailand,Kuwait
Lebanon,Liberia,Kyrgyzstan,Timor-Leste,Kyrgyzstan
Lesotho,Libya,Lao People's Democratic Republic,Togo,Lao People's Democratic Republic
Liberia,Lithuania,Latvia,Tunisia,Latvia
Libya,Luxembourg,Lebanon,Turkey,Lebanon
Lithuania,Madagascar,Lesotho,Uganda,Lesotho
Luxembourg,Malawi,Liberia,United Republic of Tanzania,Liberia
Madagascar,Malaysia,Libya,Vanuatu,Libya
Malawi,Maldives,Lithuania,Venezuela (Bolivarian Republic of),Lithuania
Malaysia,Mali,Luxembourg,Viet Nam,Luxembourg
Maldives,Malta,Madagascar,Yemen,Madagascar
Mali,Marshall Islands,Malawi,Zambia,Malawi
Malta,Mauritania,Malaysia,Zimbabwe,Malaysia
Marshall Islands,Mauritius,Maldives,,Maldives
Mauritania,Mexico,Mali,,Mali
Mauritius,Micronesia (Federated States of),Malta,,Malta
Mexico,Monaco,Marshall Islands,,Marshall Islands
Micronesia (Federated States of),Mongolia,Mauritania,,Mauritania
Monaco,Montenegro,Mauritius,,Mauritius
Mongolia,Morocco,Mexico,,Mexico
Montenegro,Mozambique,Micronesia (Federated States of),,Micronesia (Federated States of)
Morocco,Myanmar,Monaco,,Monaco
Mozambique,Namibia,Mongolia,,Mongolia
Myanmar,Nauru,Montenegro,,Montenegro
Namibia,Nepal,Morocco,,Morocco
Nauru,Netherlands,Mozambique,,Mozambique
Nepal,New Zealand,Myanmar,,Myanmar
Netherlands,Nicaragua,Namibia,,Namibia
New Zealand,Niger,Nauru,,Nauru
Nicaragua,Nigeria,Nepal,,Nepal
Niger,Niue,Netherlands,,Netherlands
Nigeria,Oman,New Zealand,,New Zealand
Niue,Pakistan,Nicaragua,,Nicaragua
Norway,Palau,Niger,,Niger
Oman,Panama,Nigeria,,Nigeria
Pakistan,Papua New Guinea,Niue,,Niue
Palau,Paraguay,Norway,,Norway
Panama,Peru,Oman,,Oman
Papua New Guinea,Philippines,Pakistan,,Pakistan
Paraguay,Poland,Palau,,Palau
Peru,Portugal,Panama,,Panama
Philippines,Qatar,Papua New Guinea,,Papua New Guinea
Poland,Republic of Korea,Paraguay,,Paraguay
Portugal,Republic of Moldova,Peru,,Peru
Qatar,Romania,Philippines,,Philippines
Republic of Korea,Russian Federation,Poland,,Poland
Republic of Moldova,Rwanda,Portugal,,Portugal
Romania,Saint Kitts and Nevis,Qatar,,Qatar
Russian Federation,Saint Lucia,Republic of Korea,,Republic of Korea
Rwanda,Saint Vincent and the Grenadines,Republic of Moldova,,Republic of Moldova
Saint Kitts and Nevis,Samoa,Romania,,Romania
Saint Lucia,San Marino,Russian Federation,,Russian Federation
Saint Vincent and the Grenadines,Sao Tome and Principe,Rwanda,,Rwanda
Samoa,Saudi Arabia,Saint Kitts and Nevis,,Saint Kitts and Nevis
San Marino,Senegal,Saint Lucia,,Saint Lucia
Sao Tome and Principe,Serbia,Saint Vincent and the Grenadines,,Saint Vincent and the Grenadines
Saudi Arabia,Seychelles,Samoa,,Samoa
Senegal,Sierra Leone,San Marino,,San Marino
Serbia,Singapore,Sao Tome and Principe,,Sao Tome and Principe
Seychelles,Slovakia,Saudi Arabia,,Saudi Arabia
Sierra Leone,Solomon Islands,Senegal,,Senegal
Slovakia,Somalia,Serbia,,Serbia
Slovenia,South Africa,Seychelles,,Seychelles
Solomon Islands,Spain,Sierra Leone,,Sierra Leone
Somalia,Sri Lanka,Singapore,,Singapore
South Africa,Sudan,Slovakia,,Slovakia
Spain,Suriname,Slovenia,,Slovenia
Sri Lanka,Swaziland,Solomon Islands,,Solomon Islands
Sudan,Sweden,Somalia,,Somalia
Suriname,Syrian Arab Republic,South Africa,,South Africa
Swaziland,Tajikistan,South Sudan,,South Sudan
Sweden,Thailand,Spain,,Spain
Switzerland,The former Yugoslav republic of Macedonia,Sri Lanka,,Sri Lanka
Syrian Arab Republic,Timor-Leste,Sudan,,Sudan
Tajikistan,Togo,Suriname,,Suriname
The former Yugoslav republic of Macedonia,Tonga,Swaziland,,Swaziland
Timor-Leste,Trinidad and Tobago,Sweden,,Sweden
Togo,Tunisia,Switzerland,,Switzerland
Tonga,Turkey,Syrian Arab Republic,,Syrian Arab Republic
Trinidad and Tobago,Turkmenistan,Tajikistan,,Tajikistan
Tunisia,Tuvalu,Thailand,,Thailand
Turkey,Uganda,The former Yugoslav republic of Macedonia,,The former Yugoslav republic of Macedonia
Turkmenistan,Ukraine,Timor-Leste,,Timor-Leste
Tuvalu,United Arab Emirates,Togo,,Togo
Uganda,United Republic of Tanzania,Tonga,,Tonga
Ukraine,United States of America,Trinidad and Tobago,,Trinidad and Tobago
United Arab Emirates,Uruguay,Tunisia,,Tunisia
United Kingdom of Great Britain and Northern Ireland,Uzbekistan,Turkey,,Turkey
United Republic of Tanzania,Vanuatu,Turkmenistan,,Turkmenistan
United States of America,Venezuela (Bolivarian Republic of),Tuvalu,,Tuvalu
Uruguay,Viet Nam,Uganda,,Uganda
Uzbekistan,Yemen,Ukraine,,Ukraine
Vanuatu,Zambia,United Arab Emirates,,United Arab Emirates
Venezuela (Bolivarian Republic of),Zimbabwe,United Kingdom of Great Britain and Northern Ireland,,United Kingdom of Great Britain and Northern Ireland
Viet Nam,,United Republic of Tanzania,,United Republic of Tanzania
Yemen,,United States of America,,United States of America
Zambia,,Uruguay,,Uruguay
Zimbabwe,,Uzbekistan,,Uzbekistan
,,Vanuatu,,Vanuatu
,,Venezuela (Bolivarian Republic of),,Venezuela (Bolivarian Republic of)
,,Viet Nam,,Viet Nam
,,Yemen,,Yemen
,,Zambia,,Zambia
,,Zimbabwe,,Zimbabwe
