ISO Numeric,ISO Alpha3,ISO Name,WHO Name,PWT Name
4,AFG,Afghanistan,Afghanistan,
8,ALB,Albania,Albania,Albania
12,DZA,Algeria,Algeria,Algeria
20,AND,Andorra,Andorra,
24,AGO,Angola,Angola,Angola
28,ATG,Antigua and Barbuda,Antigua And Barbuda,Antigua and Barbuda
32,ARG,Argentina,Argentina,Argentina
51,ARM,Armenia,Armenia,Armenia
36,AUS,Australia,Australia,Australia
40,AUT,Austria,Austria,Austria
31,AZE,Azerbaijan,Azerbaijan,Azerbaijan
44,BHS,Bahamas,Bahamas,Bahamas
48,BHR,Bahrain,Bahrain,Bahrain
50,BGD,Bangladesh,Bangladesh,Bangladesh
52,BRB,Barbados,Barbados,Barbados
112,BLR,Belarus,Belarus,Belarus
56,BEL,Belgium,Belgium,Belgium
84,BLZ,Belize,Belize,Belize
204,BEN,Benin,Benin,Benin
64,BTN,Bhutan,Bhutan,Bhutan
68,BOL,Bolivia,Bolivia,Bolivia (Plurinational State of)
70,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
72,BWA,Botswana,Botswana,Botswana
76,BRA,Brazil,Brazil,Brazil
96,BRN,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam
100,BGR,Bulgaria,Bulgaria,Bulgaria
854,BFA,Burkina Faso,Burkina Faso,Burkina Faso
108,BDI,Burundi,Burundi,Burundi
116,KHM,Cambodia,Cambodia,Cambodia
120,CMR,Cameroon,Cameroon,Cameroon
124,CAN,Canada,Canada,Canada
132,CPV,Cabo Verde,Cape Verde,Cabo Verde
140,CAF,Central African Republic,Central African Republic,Central African Republic
148,TCD,Chad,Chad,Chad
152,CHL,Chile,Chile,Chile
156,CHN,China,China,China
170,COL,Colombia,Colombia,Colombia
174,COM,Comoros,Comoros,Comoros
178,COG,Congo,Congo,Congo
184,COK,Cook Islands,Cook Islands,
796,TCA,Turks and Caicos Islands,,Turks and Caicos Islands
188,CRI,Costa Rica,Costa Rica,Costa Rica
384,CIV,Cote d'Ivoire,Côte d'Ivoire,Côte d'Ivoire
191,HRV,Croatia,Croatia,Croatia
192,CUB,Cuba,Cuba,
196,CYP,Cyprus,Cyprus,Cyprus
203,CZE,Czech Republic,Czech Republic,Czech Republic
408,PRK,Democratic People's Republic of Korea,Democratic Peoples Republic of Korea,
410,KOR,Republic of Korea,"Korea, Republic of",Republic of Korea
180,COD,Democratic Republic of the Congo,Democratic Republic of the Congo,D.R. of the Congo
208,DNK,Denmark,Denmark,Denmark
262,DJI,Djibouti,Djibouti,Djibouti
212,DMA,Dominica,Dominica,Dominica
214,DOM,Dominican Republic,Dominican Republic,Dominican Republic
218,ECU,Ecuador,Ecuador,Ecuador
818,EGY,Egypt,Egypt,Egypt
222,SLV,El Salvador,El Salvador,El Salvador
226,GNQ,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
232,ERI,Eritrea,Eritrea,
233,EST,Estonia,Estonia,Estonia
231,ETH,Ethiopia,Ethiopia,Ethiopia
242,FJI,Fiji,Fiji,Fiji
246,FIN,Finland,Finland,Finland
250,FRA,France,France,France
266,GAB,Gabon,Gabon,Gabon
270,GMB,Gambia,Gambia,Gambia
268,GEO,Georgia,Georgia,Georgia
276,DEU,Germany,Germany,Germany
288,GHA,Ghana,Ghana,Ghana
300,GRC,Greece,Greece,Greece
