,0
0,Afghanistan
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Antigua and Barbuda
6,Argentina
7,Armenia
8,Australia
9,Austria
10,Azerbaijan
11,Bahamas
12,Bahrain
13,Bangladesh
14,Barbados
15,Belarus
16,Belgium
17,Belize
18,Benin
19,Bhutan
20,Bolivia (Plurinational State of)
21,Bosnia and Herzegovina
22,Botswana
23,Brazil
24,Brunei Darussalam
25,Bulgaria
26,Burkina Faso
27,Burundi
28,Cote d'Ivoire
29,Cabo Verde
30,Cambodia
31,Cameroon
32,Canada
33,Central African Republic
34,Chad
35,Chile
36,Colombia
37,Comoros
38,Congo
39,Cook Islands
40,Costa Rica
41,Croatia
42,Cuba
43,Cyprus
44,Czech Republic
45,Democratic People's Republic of Korea
46,Democratic Republic of the Congo
47,Denmark
48,Djibouti
49,Dominica
50,Dominican Republic
51,Ecuador
52,Egypt
53,El Salvador
54,Equatorial Guinea
55,Eritrea
56,Estonia
57,Ethiopia
58,Fiji
59,Finland
60,France
61,Gabon
62,Gambia
63,Georgia
64,Germany
65,Ghana
66,Greece
67,Grenada
68,Guatemala
69,Guinea
70,Guinea-Bissau
71,Guyana
72,Haiti
73,Honduras
74,Hungary
75,Iceland
76,India
77,Indonesia
78,Iraq
79,Ireland
80,Israel
81,Italy
82,Jamaica
83,Jordan
84,Kazakhstan
85,Kenya
86,Kiribati
87,Kuwait
88,Kyrgyzstan
89,Lao People's Democratic Republic
90,Latvia
91,Lebanon
92,Lesotho
93,Liberia
94,Libya
95,Lithuania
96,Luxembourg
97,Madagascar
98,Malawi
99,Malaysia
100,Maldives
101,Mali
102,Malta
103,Marshall Islands
104,Mauritania
105,Mauritius
106,Mexico
107,Micronesia (Federated States of)
108,Monaco
109,Mongolia
110,Montenegro
111,Morocco
112,Mozambique
113,Myanmar
114,Namibia
115,Nauru
116,Nepal
117,Netherlands
118,New Zealand
119,Nicaragua
120,Niger
121,Nigeria
122,Niue
123,Norway
124,Oman
125,Pakistan
126,Palau
127,Panama
128,Papua New Guinea
129,Paraguay
130,Peru
131,Philippines
132,Poland
133,Portugal
134,Qatar
135,Republic of Korea
136,Republic of Moldova
137,Romania
138,Russian Federation
139,Rwanda
140,Saint Kitts and Nevis
141,Saint Lucia
142,Saint Vincent and the Grenadines
143,Samoa
144,San Marino
145,Sao Tome and Principe
146,Saudi Arabia
147,Senegal
148,Serbia
149,Seychelles
150,Sierra Leone
151,Slovakia
152,Slovenia
153,Solomon Islands
154,Somalia
155,South Africa
156,Spain
157,Sri Lanka
158,Sudan
159,Suriname
160,Swaziland
161,Sweden
162,Switzerland
163,Syrian Arab Republic
164,Tajikistan
165,The former Yugoslav republic of Macedonia
166,Timor-Leste
167,Togo
168,Tonga
169,Trinidad and Tobago
170,Tunisia
171,Turkey
172,Turkmenistan
173,Tuvalu
174,Uganda
175,Ukraine
176,United Arab Emirates
177,United Kingdom of Great Britain and Northern Ireland
178,United Republic of Tanzania
179,United States of America
180,Uruguay
181,Uzbekistan
182,Vanuatu
183,Venezuela (Bolivarian Republic of)
184,Viet Nam
185,Yemen
186,Zambia
187,Zimbabwe
188,
189,China
190,Iran (Islamic Republic of)
191,Singapore
192,Thailand
193,Japan
194,South Sudan
