Code,Region,Region code
AFG,South Asia,SAS
ALB,Europe & Central Asia,ECA
DZA,Middle East & North Africa,MNA
ASM,East Asia & Pacific,EAP
ADO,Europe & Central Asia,ECA
AGO,Sub-Saharan Africa,SSA
ATG,Latin America & Caribbean,LAC
ARG,Latin America & Caribbean,LAC
ARM,Europe & Central Asia,ECA
ABW,Latin America & Caribbean,LAC
AUS,East Asia & Pacific,EAP
AUT,Europe & Central Asia,ECA
AZE,Europe & Central Asia,ECA
BHS,Latin America & Caribbean,LAC
BHR,Middle East & North Africa,MNA
BGD,South Asia,SAS
BRB,Latin America & Caribbean,LAC
BLR,Europe & Central Asia,ECA
BEL,Europe & Central Asia,ECA
BLZ,Latin America & Caribbean,LAC
BEN,Sub-Saharan Africa,SSA
BMU,North America,NAM
BTN,South Asia,SAS
BOL,Latin America & Caribbean,LAC
BIH,Europe & Central Asia,ECA
BWA,Sub-Saharan Africa,SSA
BRA,Latin America & Caribbean,LAC
BRN,East Asia & Pacific,EAP
BGR,Europe & Central Asia,ECA
BFA,Sub-Saharan Africa,SSA
BDI,Sub-Saharan Africa,SSA
CPV,Sub-Saharan Africa,SSA
KHM,East Asia & Pacific,EAP
CMR,Sub-Saharan Africa,SSA
CAN,North America,NAM
CYM,Latin America & Caribbean,LAC
CAF,Sub-Saharan Africa,SSA
TCD,Sub-Saharan Africa,SSA
CHI,Europe & Central Asia,ECA
CHL,Latin America & Caribbean,LAC
CHN,East Asia & Pacific,EAP
COL,Latin America & Caribbean,LAC
COM,Sub-Saharan Africa,SSA
ZAR,Sub-Saharan Africa,SSA
COG,Sub-Saharan Africa,SSA
CRI,Latin America & Caribbean,LAC
CIV,Sub-Saharan Africa,SSA
HRV,Europe & Central Asia,ECA
CUB,Latin America & Caribbean,LAC
CUW,Latin America & Caribbean,LAC
CYP,Europe & Central Asia,ECA
CZE,Europe & Central Asia,ECA
DNK,Europe & Central Asia,ECA
DJI,Middle East & North Africa,MNA
DMA,Latin America & Caribbean,LAC
DOM,Latin America & Caribbean,LAC
ECU,Latin America & Caribbean,LAC
EGY,Middle East & North Africa,MNA
SLV,Latin America & Caribbean,LAC
GNQ,Sub-Saharan Africa,SSA
ERI,Sub-Saharan Africa,SSA
EST,Europe & Central Asia,ECA
ETH,Sub-Saharan Africa,SSA
FRO,Europe & Central Asia,ECA
FJI,East Asia & Pacific,EAP
FIN,Europe & Central Asia,ECA
FRA,Europe & Central Asia,ECA
PYF,East Asia & Pacific,EAP
GAB,Sub-Saharan Africa,SSA
GMB,Sub-Saharan Africa,SSA
GEO,Europe & Central Asia,ECA
DEU,Europe & Central Asia,ECA
GHA,Sub-Saharan Africa,SSA
GRC,Europe & Central Asia,ECA
GRL,Europe & Central Asia,ECA
GRD,Latin America & Caribbean,LAC
GUM,East Asia & Pacific,EAP
GTM,Latin America & Caribbean,LAC
GIN,Sub-Saharan Africa,SSA
GNB,Sub-Saharan Africa,SSA
GUY,Latin America & Caribbean,LAC
HTI,Latin America & Caribbean,LAC
HND,Latin America & Caribbean,LAC
HKG,East Asia & Pacific,EAP
HUN,Europe & Central Asia,ECA
ISL,Europe & Central Asia,ECA
IND,South Asia,SAS
IDN,East Asia & Pacific,EAP
IRN,Middle East & North Africa,MNA
IRQ,Middle East & North Africa,MNA
IRL,Europe & Central Asia,ECA
IMY,Europe & Central Asia,ECA
ISR,Middle East & North Africa,MNA
ITA,Europe & Central Asia,ECA
JAM,Latin America & Caribbean,LAC
JPN,East Asia & Pacific,EAP
JOR,Middle East & North Africa,MNA
KAZ,Europe & Central Asia,ECA
KEN,Sub-Saharan Africa,SSA
KIR,East Asia & Pacific,EAP
PRK,East Asia & Pacific,EAP
KOR,East Asia & Pacific,EAP
KSV,Europe & Central Asia,ECA
KWT,Middle East & North Africa,MNA
KGZ,Europe & Central Asia,ECA
LAO,East Asia & Pacific,EAP
LVA,Europe & Central Asia,ECA
LBN,Middle East & North Africa,MNA
LSO,Sub-Saharan Africa,SSA
LBR,Sub-Saharan Africa,SSA
LBY,Middle East & North Africa,MNA
LIE,Europe & Central Asia,ECA
LTU,Europe & Central Asia,ECA
LUX,Europe & Central Asia,ECA
MAC,East Asia & Pacific,EAP
MKD,Europe & Central Asia,ECA
MDG,Sub-Saharan Africa,SSA
MWI,Sub-Saharan Africa,SSA
MYS,East Asia & Pacific,EAP
MDV,South Asia,SAS
MLI,Sub-Saharan Africa,SSA
MLT,Middle East & North Africa,MNA
MHL,East Asia & Pacific,EAP
MRT,Sub-Saharan Africa,SSA
MUS,Sub-Saharan Africa,SSA
MEX,Latin America & Caribbean,LAC
FSM,East Asia & Pacific,EAP
MDA,Europe & Central Asia,ECA
MCO,Europe & Central Asia,ECA
MNG,East Asia & Pacific,EAP
MNE,Europe & Central Asia,ECA
MAR,Middle East & North Africa,MNA
MOZ,Sub-Saharan Africa,SSA
MMR,East Asia & Pacific,EAP
NAM,Sub-Saharan Africa,SSA
NPL,South Asia,SAS
NLD,Europe & Central Asia,ECA
NCL,East Asia & Pacific,EAP
NZL,East Asia & Pacific,EAP
NIC,Latin America & Caribbean,LAC
NER,Sub-Saharan Africa,SSA
NGA,Sub-Saharan Africa,SSA
MNP,East Asia & Pacific,EAP
NOR,Europe & Central Asia,ECA
OMN,Middle East & North Africa,MNA
PAK,South Asia,SAS
PLW,East Asia & Pacific,EAP
PAN,Latin America & Caribbean,LAC
PNG,East Asia & Pacific,EAP
PRY,Latin America & Caribbean,LAC
PER,Latin America & Caribbean,LAC
PHL,East Asia & Pacific,EAP
POL,Europe & Central Asia,ECA
PRT,Europe & Central Asia,ECA
PRI,Latin America & Caribbean,LAC
QAT,Middle East & North Africa,MNA
ROM,Europe & Central Asia,ECA
RUS,Europe & Central Asia,ECA
RWA,Sub-Saharan Africa,SSA
WSM,East Asia & Pacific,EAP
SMR,Europe & Central Asia,ECA
STP,Sub-Saharan Africa,SSA
SAU,Middle East & North Africa,MNA
SEN,Sub-Saharan Africa,SSA
SRB,Europe & Central Asia,ECA
SYC,Sub-Saharan Africa,SSA
SLE,Sub-Saharan Africa,SSA
SGP,East Asia & Pacific,EAP
SXM,Latin America & Caribbean,LAC
SVK,Europe & Central Asia,ECA
SVN,Europe & Central Asia,ECA
SLB,East Asia & Pacific,EAP
SOM,Sub-Saharan Africa,SSA
ZAF,Sub-Saharan Africa,SSA
SSD,Sub-Saharan Africa,SSA
ESP,Europe & Central Asia,ECA
LKA,South Asia,SAS
KNA,Latin America & Caribbean,LAC
LCA,Latin America & Caribbean,LAC
MAF,Latin America & Caribbean,LAC
VCT,Latin America & Caribbean,LAC
SDN,Sub-Saharan Africa,SSA
SUR,Latin America & Caribbean,LAC
SWZ,Sub-Saharan Africa,SSA
SWE,Europe & Central Asia,ECA
CHE,Europe & Central Asia,ECA
SYR,Middle East & North Africa,MNA
TWN,East Asia & Pacific,EAP
TJK,Europe & Central Asia,ECA
TZA,Sub-Saharan Africa,SSA
THA,East Asia & Pacific,EAP
TMP,East Asia & Pacific,EAP
TGO,Sub-Saharan Africa,SSA
TON,East Asia & Pacific,EAP
TTO,Latin America & Caribbean,LAC
TUN,Middle East & North Africa,MNA
TUR,Europe & Central Asia,ECA
TKM,Europe & Central Asia,ECA
TCA,Latin America & Caribbean,LAC
TUV,East Asia & Pacific,EAP
UGA,Sub-Saharan Africa,SSA
UKR,Europe & Central Asia,ECA
ARE,Middle East & North Africa,MNA
GBR,Europe & Central Asia,ECA
USA,North America,NAM
URY,Latin America & Caribbean,LAC
UZB,Europe & Central Asia,ECA
VUT,East Asia & Pacific,EAP
VEN,Latin America & Caribbean,LAC
VNM,East Asia & Pacific,EAP
VIR,Latin America & Caribbean,LAC
WBG,Middle East & North Africa,MNA
YEM,Middle East & North Africa,MNA
ZMB,Sub-Saharan Africa,SSA
ZWE,Sub-Saharan Africa,SSA
,,
WLD,,
,,
LIC,,
MIC,,
LMC,,
UMC,,
LMY,,
EAP,,
ECA,,
LAC,,
MNA,,
SAS,,
SSA,,
HIC,,
EMU,,
OEC,,
NOC,,
AFR,,
ARB,,
CEB,,
EAS,,
ECS,,
EUU,,
FCS,,
HPC,,
IBD,,
IBT,,
IDB,,
IDX,,
IDA,,
LCN,,
LDC,,
MEA,,
NAC,,
OED,,
SST,,
CSS,,
PSS,,
OSS,,
SSF,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
