year,avh,BCG,ccon,cda,cgdpe,cgdpo,ck,cor_exp,csh_c,csh_g,csh_i,csh_m,csh_r,csh_x,ctfp,cwtfp,delta,DTP3,emp,expend,hc,HepB3,Hib3,i_cig,i_outlier,i_xm,i_xr,labsh,MCV,PAB,pl_c,pl_con,pl_da,pl_g,pl_gdpo,pl_i,pl_k,pl_m,pl_x,Pol3,pop,rconna,rdana,rgdpe,rgdpna,rgdpo,rkna,rtfpna,rwtfpna,sani,statcap,water,xr,country
950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZWE
951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZWE
952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZWE
953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZWE
954,NA,NA,4266.6171875,5489.015625,4909.1748046875,4909.17626953125,11352.6806640625,NA,0.696008563041687,0.173102080821991,0.249002814292908,-5.79095740249613e-06,-0.118118517100811,1.08782196548418e-05,NA,NA,0.0395769253373146,NA,NA,NA,1.1799898147583,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.678181707859039,NA,NA,0.136814111973395,0.132746666669846,0.131250008940697,0.116392279493011,0.131249964237213,0.126026126534893,0.147564798593521,0.0866520032286644,0.10367688536644,NA,3.12241893731109,1951.19128417969,2416.33349609375,5200.27392578125,2879.5703125,4935.70849609375,72685.4375,NA,NA,NA,NA,NA,1.0,ZWE
955,NA,NA,4492.791015625,6123.74560546875,5043.5009765625,5043.50537109375,11060.876953125,NA,0.733764886856079,0.15704233944416,0.323377221822739,-6.53157530905446e-06,-0.214189112186432,1.1211724995519e-05,NA,NA,0.0379790179431438,NA,NA,NA,1.18866145610809,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.678181707859039,NA,NA,0.138988537014112,0.135657981038094,0.135287016630173,0.120096255798613,0.135286897420883,0.134265154940746,0.156168654561043,0.0888727605342865,0.094698041677475,NA,3.21847630759467,2066.8955078125,2711.36157226562,5369.748046875,3101.4033203125,5096.5634765625,71114.3203125,NA,NA,NA,NA,NA,0.999719997979031,ZWE
956,NA,NA,4857.0810546875,6809.41748046875,5513.20166015625,5513.2109375,11083.466796875,NA,0.71877110004425,0.162218451499939,0.354119688272476,-6.3588731791242e-06,-0.235114216804504,1.13327159851906e-05,NA,NA,0.0366922430694103,NA,NA,NA,1.19926202297211,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.678181707859039,NA,NA,0.146495639532128,0.142453253269196,0.140512615442276,0.124541907446863,0.140512391924858,0.135684667271722,0.157209739089012,0.0925430655479431,0.0880409777164459,NA,3.33245059932528,2249.33740234375,3015.79565429687,5879.59228515625,3444.0712890625,5580.4736328125,69953.953125,NA,NA,NA,NA,NA,0.999859998989515,ZWE
957,NA,NA,5215.1669921875,7191.96240234375,6090.47705078125,6090.48388671875,10949.583984375,NA,0.704139709472656,0.152141511440277,0.324571132659912,-5.93857885178295e-06,-0.180857077240944,1.06434499684838e-05,NA,NA,0.0356065295636654,NA,NA,NA,1.20995700359344,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.678181707859039,NA,NA,0.150810334439963,0.14829808473587,0.145685166120529,0.13667090697043,0.145685002207756,0.138791775465083,0.162398472428322,0.094084233045578,0.0984344854950905,NA,3.44253439041152,2425.3359375,3186.46313476562,6485.6845703125,3745.55883789062,6155.7294921875,68927.8359375,NA,NA,NA,NA,NA,0.999859998989515,ZWE
958,NA,NA,5445.1767578125,7427.1181640625,6108.466796875,6108.4755859375,10613.56640625,NA,0.72471296787262,0.166700422763824,0.32445764541626,-5.72126145925722e-06,-0.215875536203384,1.01883233583067e-05,NA,NA,0.0346722155809402,NA,NA,NA,1.22074735164642,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.678181707859039,NA,NA,0.155778678912805,0.15284675359726,0.15027379989624,0.140100469730189,0.150273576378822,0.143204888774402,0.172134965658188,0.101558297872543,0.0972256064414978,NA,3.55376637889344,2531.60083007812,3283.83544921875,6488.1640625,3825.41381835937,6158.0849609375,68004.0859375,NA,NA,NA,NA,NA,0.999859998989515,ZWE
959,NA,NA,5687.89453125,7209.001953125,6879.83251953125,6879.83837890625,10370.505859375,NA,0.65740954875946,0.169338703155518,0.221096366643906,-4.67522659164388e-06,-0.0478502959012985,1.03477414086228e-05,NA,NA,0.0337595976889133,NA,NA,NA,1.23163402080536,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.678181707859039,NA,NA,0.160225752038941,0.157004848122597,0.153498440980911,0.144500636153975,0.153498321771622,0.140386922315143,0.169876009225845,0.101245887577534,0.11693225055933,NA,3.66969312390971,2657.62475585937,3214.43286132812,7348.38525390625,4036.3369140625,6974.53857421875,66819.6328125,NA,NA,NA,NA,NA,0.999859998989515,ZWE
