Statistic,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1966,1967,1967,1968,1968,1969,1969,1970,1970,1971,1971,1972,1972,1973,1973,1974,1974,1975,1975,1976,1976,1977,1977,1978,1978,1979,1979,1980,1980,1981,1981,1982,1982,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015
DTP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,3.0,,4.0,,8.0,,14.0,,27.0,,40.0,,60.0,,62.0,,62.0,,53.0,,51.0,,46.0,,48.0,,56.0,,55.0,,46.0,,55.0,,62.0,,66.0,,60.0,,69.0,,74.0,,78.0,,78.0,,84.0,,86.0,,81.0,,90.0,,93.0,,92.0,,93.0,,94.0,,
HepB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,60.0,,78.0,,78.0,,72.0,,75.0,,93.0,,92.0,,93.0,,94.0,,
Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,72.0,,75.0,,93.0,,92.0,,93.0,,94.0,,
MCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,3.0,,6.0,,11.0,,22.0,,44.0,,61.0,,57.0,,57.0,,52.0,,49.0,,48.0,,51.0,,59.0,,58.0,,49.0,,51.0,,58.0,,58.0,,58.0,,65.0,,67.0,,69.0,,73.0,,79.0,,79.0,,82.0,,90.0,,87.0,,85.0,,85.0,,86.0,,
PAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,3.0,,4.0,,7.0,,14.0,,20.0,,30.0,,72.0,,72.0,,64.0,,62.0,,68.0,,76.0,,64.0,,69.0,,71.0,,76.0,,61.0,,63.0,,62.0,,65.0,,68.0,,68.0,,70.0,,72.0,,70.0,,74.0,,74.0,,74.0,,74.0,,74.0,,74.0,,
expend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.353209400000004,,73.73927468,,72.71561739,,80.62970646,,79.1096056,,75.49916804,,82.17867261,,88.44090525,,100.77592890000001,,114.80367350000002,,124.14251770000001,,161.7096206,,222.623996,,283.0211137,,289.63366560000003,,265.7522284,,262.2025347,,262.37938399999996,,274.90747610000005,,281.6404994,,
sani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,,27.2,,27.4,,27.4,,27.2,,26.9,,26.6,,26.4,,26.0,,25.7,,25.4,,25.1,,24.8,,24.5,,24.3,,24.0,,23.7,,23.4,,23.1,,22.8,,22.5,,23.5,,23.5,,23.6,,23.6,,
water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4,,67.7,,67.3,,66.9,,66.2,,65.5,,64.8,,64.1,,63.4,,62.7,,62.0,,61.3,,60.6,,59.9,,59.2,,58.5,,57.7,,57.0,,56.3,,55.6,,54.9,,55.4,,55.5,,55.5,,55.5,,
rgdpe,,,,,,,,,,,,,,,,,,,,,,,,,,19321.919921875,,20451.20703125,,18512.662109375,,17234.875,,20371.490234375,,24601.26953125,,29126.287109375,,32951.25390625,,30730.568359375,,27860.51953125,,29000.0625,,31980.779296875,,36455.609375,,33329.25,,33640.6328125,,34353.46875,,37436.09765625,,38455.44921875,,40324.12890625,,39229.39453125,,40930.0859375,,43085.5546875,,42209.1171875,,42345.91015625,,44690.25390625,,44907.8828125,,45783.05859375,,47909.546875,,49255.85546875,,58443.671875,,65181.30859375,,65594.0078125,,67724.4765625,,74514.125,,81155.546875,,93280.828125,,112251.7109375,,119157.0390625,,122525.421875,,136634.03125,,161323.390625,,180282.328125,,160241.484375,,181025.1875,,190194.625,
