"","x"
"1","Anguilla"
"2","Bermuda"
"3","Bolivia (Plurinational State of)"
"4","Côte d'Ivoire"
"5","D.R. of the Congo"
"6","Curaçao"
"7","Cayman Islands"
"8","China, Hong Kong SAR"
"9","Iran (Islamic Republic of)"
"10","Lao People's DR"
"11","China, Macao SAR"
"12","Republic of Moldova"
"13","TFYR of Macedonia"
"14","Montserrat"
"15","State of Palestine"
"16","Russian Federation"
"17","Sudan (Former)"
"18","Sint Maarten (Dutch part)"
"19","Taiwan"
"20","U.R. of Tanzania: Mainland"
"21","United States"
"22","St. Vincent and the Grenadines"
"23","Venezuela (Bolivarian Republic of)"
"24","British Virgin Islands"
